Nome;CNPJ;Razao;Rede;Cluster;Estado;Cidade;Bairro;Endereco;Numero;Complemento;Pontos
Rastrecall  Representações Comerciais  - Nilópolis Shopping - KIOSQUE;5,05E+12;Nilópolis Shopping;Rastrecall  Representações Comerciais ;C;RJ;Nilópolis;Centro;Rua Professor Alfredo Gonçalves Fugueira, 100 Q. 07 - CEP: 26525-060 - Nilopolis - RJ; -; -; -
Rastrecall  Representações Comerciais  - Parque Shopping Barueri - KIOSQUE;5,05E+12;#N/D;#N/D;C;SP;Barueri;Nova Aldeinha;Rua General de Divisão Pedro Rodrigues da Silva, 400 -KSK Q101 - Nova Aldeinha - Barueri - SP; -; -; -
Rastrecall  Representações Comerciais  - Passeio Shopping - LOJA;5,05E+12;Passeio Shopping;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Campo Grande;Rua Viuva Dantas, 100 lojas 101 e 103 - CEP. 23052-090 - Campo Grande RJ; -; -; -
Rastrecall  Representações Comerciais  - Shopping Bangu - KIOSQUE;5,05E+12;Shopping Bangu;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Bangu ;R Fonseca, 240, Quiosq Q04-A - Cep: 21820-005 Bangu - Rio De Janeiro (Rj); -; -; -
Rastrecall  Representações Comerciais  - Shopping Bangu - LOJA;5,05E+12;Shopping Bangu;Rastrecall  Representações Comerciais ;B;RJ;Rio de Janeiro;Bangu ;R Fonseca, 240 Loja N 124/124-A - Bangu Rio De Janeiro; -; -; -
Rastrecall  Representações Comerciais  - Shopping Jardim Guadalupe - KIOSQUE;5,05E+12;Shopping Jardim Guadalupe;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Guadalupe;AV. BRASIL N.22155 QUIOSQUE 1* PISO - JARDIM GUADALUPE - CEP. 21.670-000 - RJ; -; -; -
Rastrecall  Representações Comerciais  - Shopping Nova Iguaçu - KIOSQUE;5,05E+12;Shopping Nova Iguaçu;Rastrecall  Representações Comerciais ;C;RJ;Nova Iguaçu;Bairro da Luz ;Av Abílio Augusto Távora, nº  1.111 - (Quiosque QP23) - Bairro da Luz - Nova Iguaçu – Rio de Janeiro; -; -; -
Rastrecall  Representações Comerciais  - Shopping Park Lagos - KIOSQUE;5,05E+12;Shopping Park Lagos;Rastrecall  Representações Comerciais ;C;RJ;Cabo Frio;Centro;Av. Heriquente Terra, 1700 - Q25 - Parque Burle - Cabo Frio - CEP: 28.911-320; -; -; -
Rastrecall  Representações Comerciais  - Shopping Pátio Alcântara - KIOSQUE;5,05E+12;Shopping Pátio Alcântara;Rastrecall  Representações Comerciais ;C;RJ;São Gonçalo;Alcântara;Praça Carlos Gianelli, S/N L2-Q25 - CEP 24710-465 - São Gonçalo - Alcantara; -; -; -
Rastrecall  Representações Comerciais  - Shopping Sulacap - KIOSQUE;5,05E+12;Shopping Sulacap;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Realengo;Avenida Marechal Fontenelle, 3545 Quiosque MKT 22 - CEP 21750-001 - Jardim Sulacap - RJ; -; -; -
Rastrecall  Representações Comerciais  - Sider Shopping - KIOSQUE;5,05E+12;Sider Shopping;Rastrecall  Representações Comerciais ;C;RJ;Volta Redonda;Vila Santa Cecília;Rua Doze, 300 Quiosque M209 - Vila Santa Cecília / Volta Redonda - RJ CEP: 27260-315; -; -; -
Rastrecall  Representações Comerciais  - Sta. Cruz  - KIOSQUE;5,05E+12;Sta. Cruz ;Rastrecall  Representações Comerciais ;C;RJ;Rio de Janeiro;Santa Cruz ;Rua felipe cardoso N. 540 Q07 - CEP 23515-000 - Santa cruz - RJ ; -; -; -
Voce Mobile Comercio E Repres Ltda - North Shopping Joquei - LOJA;1,42E+13;North Shopping Joquei;Voce Mobile Comercio E Repres Ltda;B;CE;Fortaleza;Joquei Clube ;Av. Lineu Machado, 419  Complemento:  Loja 1031 E 1032 Piso L 1  Bairro:  Joquei Clube  Município:  Fortaleza  Cep:  60520-102 ; -; -; -
Voce Mobile Comercio E Repres Ltda - Riverside Shopping - KIOSQUE;1,42E+13;Riverside Shopping;Voce Mobile Comercio E Repres Ltda;C;PI;Teresina;Joquei Clube ;Av. Ininga, 1201 Quiosq Q 32 -Bairro Joquei Clube  -Municipio De Teresina- Cep 64048-110; -; -; -
Voce Mobile Comercio E Repres Ltda - Shopping Benfica - KIOSQUE;1,42E+13;Shopping Benfica;Voce Mobile Comercio E Repres Ltda;C;CE;Fortaleza;Benfica;RUA CARAPINIMA, N°2200. SHOPPING BENFICA, QUIOSQUE 002 A. ; -; -; -
Voce Mobile Comercio E Repres Ltda - Shopping Parangaba - LOJA;1,42E+13;Shopping Parangaba;Voce Mobile Comercio E Repres Ltda;B;CE;Fortaleza;Parangaba ;R Germano Frank, 300 Loja 327; -; -; -
Voce Mobile Comercio E Repres Ltda - Shopping Riomar Kennedy - KIOSQUE;1,42E+13;Shopping Riomar Kennedy;Voce Mobile Comercio E Repres Ltda;C;CE;Fortaleza;Presidente Kennedy;AV. SARMENTO HERMINIO SAMPAIO, 3100.  Piso L-2. Q -216; -; -; -
Voce Mobile Comercio E Repres Ltda - Shopping Via Sul - LOJA ;1,42E+13;Shopping Via Sul;Voce Mobile Comercio E Repres Ltda;B;CE;Fortaleza;Sapiranga ;Av Washington Soares, 4335- Quiosqqt-08 Cep:60833-005 Bairro Sapiranga Fortaleza Ce; -; -; -
Voce Mobile Comercio E Repres Ltda - Teresina Shopping - LOJA;1,42E+13;Teresina Shopping;Voce Mobile Comercio E Repres Ltda;A;PI;Teresina;Noivos;Av Raul Lopes, Nº 1000 - Loja 238 Teresina Shopping Bairro: Noivos Teresina-Pi Cep: 64046-902; -; -; -
