"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Arte Telecom Ltda - Tiete Plaza Shopping - LOJA",1,30000000000000,"Shopping Cidade BH","Arte Telecom Ltda / ATYV","B","SP","S�o Paulo","Pirituba ","Av Raimundo Pereira De Magalhaes",1465," Loja 1079 A Piso Terreo Cep: 05145-000"," Pirituba"," Sao Paulo (Sp)"," -"," -"," -",,
"Arte Telecom Ltda - Tivoli Shopping - KIOSQUE",1,30000000000000,"Shopping Del Rey","Arte Telecom Ltda / ATYV","B","SP","Santa Barbara do Oeste","Jardim S�o Francisco","Av. Santa Barbara, 777 - Quiosq: Mik 711;"," -"," -"," -",,,,,,
"Arte Telecom Ltda / ATYV - BH Shopping - LOJA",1,30000000000000,"Shopping Esta��o BH","Arte Telecom Ltda / ATYV","A","MG","Belo Horizonte","Belvedere ","Rod Br-356"," 3049 Loja: N Bh - 71/72"," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Boulevard Shopping BH - LOJA",1,30000000000000,"Shopping Contagem","Arte Telecom Ltda / ATYV","B","MG","Belo Horizonte","Santa Efigenia ","Av. Dos Andradas"," 3000 Boulevard Shopping Loja 1050 1�piso Bairro Santa Efigenia Cep 30260-070"," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Diamond Mall - LOJA",1,30000000000000,"BH Shopping","Arte Telecom Ltda / ATYV","B","MG","Belo Horizonte","Lourdes ","Avenida Oleg�rio Maciel",1600," Piso 1"," Loja 24A"," Lourdes"," Belo Horizonte - Mg. Cep- 30180-915"," -"," -"," -",
"Arte Telecom Ltda / ATYV - Itau Power Shopping - LOJA",1,30000000000000,"Shopping Sete Lagoas","Arte Telecom Ltda / ATYV","B","MG","Contagem","Cidade Industrial ","Av. General David Sarnoff"," 5160   Loja 161  1�piso   Cep 32210-110  Bairro Cidade Industrial"," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Itu Plaza Shopping - KIOSQUE","Aguardando CNPJ","Diamond Mall","Arte Telecom Ltda / ATYV","C","SP","Itu","S�o Luis","Avenida Dr. Ermelindo Maffei, 1199 - Quiosq: Samsung
S�o Luis � CEP: 13304-305 
"," -"," -"," -",,,,,,,
"Arte Telecom Ltda / ATYV - Minas Shopping - LOJA",1,30000000000000,"Boulevard Shopping BH","Arte Telecom Ltda / ATYV","B","MG","Belo Horizonte","Uniao ","Av Cristiano Machado 4000 - : Minas Shopping; Loja: 160 - 1 Piso - Cep: 31160-900 - Uni�o - Belo Horizonte (Mg)"," -"," -"," -",,,,,,
"Arte Telecom Ltda / ATYV - Shopping Cidade BH - LOJA",1,30000000000000,"Shopping Rio Claro","Arte Telecom Ltda / ATYV","B","MG","Belo Horizonte","Centro","Rua Rio de Janeiro, 910 Edif.: Shopping Cidade; Piso Goitacases Loja G04"," -"," -"," -",,,,,,
"Arte Telecom Ltda / ATYV - Shopping Contagem - LOJA",1,30000000000000,"Itu Plaza Shopping","Arte Telecom Ltda / ATYV","C","MG","Contagem","Ressaca ","Avenida Severino Ballesteros"," 99 Ressaca- 32110-005- Contagem"," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Shopping Del Rey - LOJA",1,30000000000000,"Shopping Del Rey","Martinello","B","MG","Belo Horizonte","Caicaras ","Av. Presidente Carlos Luz",3001," Loja 1049"," Cai�aras"," Cep 31250-010"," Belo Horizonte"," Mg"," -"," -"," -"
"Arte Telecom Ltda / ATYV - Shopping do Vale do A�o - KIOSQUE",1,30000000000000,"#N/D","#N/D","C","MG","Ipatinga ","Ipatinga","Av Pedro Linhares Gomes",3900," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Shopping Esta��o BH - LOJA",1,30000000000000,"Shopping Esta��o BH","Martinello","C","MG","Belo Horizonte","Vila Cloris ","Av Cristiano Machado, 11833 - Shopping Estacao Bh; Cep: 31744-007 - Vila Cloris - Belo Horizonte (Mg)"," -"," -"," -",,,,,,
"Arte Telecom Ltda / ATYV - Shopping Montes Claros - KIOSQUE",1,30000000000000,"#N/D","#N/D","C","MG","Montes Claros","Cidade Nova ","Avenida Donato Quintino",90," -"," -"," -",,,,,
"Arte Telecom Ltda / ATYV - Shopping Rio Claro - KIOSQUE",1,3000000000000,"#N/D","#N/D","C","SP","Rio Claro","Rio Claro","Avenida Conde Francisco Matarazzo Junior",205," Vila Paulista"," Rio Claro - SP. Quiosque 60"," -"," -"," -",,,
"Arte Telecom Ltda / ATYV - Shopping Sete Lagoas - LOJA",1,30000000000000,"Shopping Sete Lagoas","Martinello","C","MG","Sete Lagoas","Eldorado ","Av. Ot�vio Campelo Ribeiro 2801 Bairro Eldorado  Cidade De Sete Lagoas - Cep 35702-153 Loja Ssl00280"," -"," -"," -",,,,,,
"Atacadao Dos Eletrodomesticos Do - Cariri Garden Shopping - LOJA",7,10000000000000,"Cariri Garden Shopping","Atacadao Dos Eletrodomesticos Do","C","CE","Juazeiro do Norte","Triangulo","Av Padre Cicero, 2555 Loja: 206/207;"," -"," -"," -",,,,,,
