Nome,CNPJ,Razao,REDE,Cluster,Estado,Cidade,Bairro,Endereco,Numero,Complemento,Pontos
Mrf Comercio De Celulares E Serviços Ltda Me - Boulevard Brasilia - KIOSQUE,12309173000418,Boulevard Brasilia,NEOR-014,B,DF,Brasília,Asa Norte ,"St Terminal Norte Conjunto J, S/N, Quiosque Qt23 Cep: 70770-100, Asa Norte, Brasilia- Df",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Brasilia Shopping - LOJA,12309173000175,Brasilia Shopping,NEOR-014,A,DF,Brasília,Asa Norte ,"St Comercial Norte Quadra, 05 - Bloco A Loja 94S E 98S - Cep: 70715-900 - Asa Norte - Brasília (Df)",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Goiania Shopping - LOJA,12309173000507,Goiania Shopping,NEOR-014,B,GO,Goiânia,Setor Bueno ,"Av T10, 1300, Setor Bueno - Quadra A, Lote 10/18, Salão M Uso 02, Loja 163/164 - Cep: 74223-060 -Goiana (Go)",,,
Mrf Comercio De Celulares E Serviços Ltda Me - JK Shopping & Tower - LOJA,12309173000841,JK Shopping & Tower,NEOR-014,C,DF,Brasília,Taguatinga ,"Q Qnm 34 Area Especial, 01, Loja 314 2 Pavimento - Cep: 72145-450 - Taguatinga - Brasilia - Df",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Park Shopping Brasilia - LOJA,12309173000337,Park Shopping Brasilia,NEOR-014,A,DF,Brasília,Guara ,"St De Areas Isoladas/Sudoeste Area, 6580 - Luc 283/284 - Guara - Brasília (Df)Cep 71219-900 ",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Shopping Conjunto Nacional Brasilia - LOJA,12309173000680,Shopping Conjunto Nacional Brasilia,NEOR-014,A,DF,Brasília,Asa Norte ,"St De Diversoes Norte Conjunto A, S/N - Loja 2072 2 Piso Cep: 70077-000 - Asa Norte - Brasilia (Df)",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Shopping Iguatemi Brasilia - LOJA,12309173000256,Shopping Iguatemi Brasilia,NEOR-014,B,DF,Brasília,Lago Norte ,"St Shin Ca 4 Lote A, Sn - Loja 40 Piso Semi-Enterrado - Cep: 71503-504  - Lago Norte  - Brasília (Df)",,,
Mrf Comercio De Celulares E Serviços Ltda Me - Shopping Patio Brasil - LOJA,12309173000922,Shopping Patio Brasil,NEOR-014,A,DF,Brasília,Asa Sul,St Comercial Sul Quadra 07 Bloco A Sn Loja 01T Terreo Parte Loja T065/066 Asa Sul Brasilia - Df Cep: 70.307-902 ,,,
Mrf Comercio De Celulares E Serviços Ltda Me - Taguatinga Shopping - LOJA,12309173000760,Taguatinga Shopping,NEOR-014,A,DF,Brasília,Taguatinga ,Q Qs 01 Rua 210 Lote 40 Salao Comercial 3065 2 Pavimento Taguatinga Brasilia-Df,,,
Mrf Comercio De Celulares E Serviços Ltda Me - Terraço Shopping - LOJA,12309173001147,Terraço Shopping,NEOR-014,B,DF,Brasília,Sudoeste,SHC /AO/S EA 2/8 Lote 05 - Loja 286 - 1º Pavimento,,,
Multisom - Barra Shopping Sul - LOJA,4112118012764,Barra Shopping Sul,NEOR-015,B,RS,Porto Alegre,Cristal,"Av. Diário De Notícias, 300, Luc 1042, Piso Joquei - Cristal, Porto Alegre - Rs, 90810-080",,,
Multisom - Bourbon Center Lar - LOJA,4112118013060,Bourbon Center Lar,NEOR-015,C,RS,Porto Alegre,Sarandi,Av.  Sertorio 8000 - loja 132 à 134 - Bairro Sarandi - Porto Alegre RS,,,
Multisom - Bourbon Novo Hamburgo - LOJA,4112118012330,Bourbon Novo Hamburgo,NEOR-015,B,RS,Novo Hamburgo,Centro ,"Av Nacoes Unidas Número 2001, Loja 1062 Cep 93320-021 

",,,
Multisom - Bourbon São Leopoldo - LOJA,4112118012500,Bourbon São Leopoldo,NEOR-015,C,RS,São Leoplodo,Centro ,"R Primeiro De Março Nº 821 Loja 289 Loja 290 Cep 93010-210 
",,,
Multisom - Bourbon Shopping Ipiranga - KIOSQUE,4112118013302,Bourbon Shopping Ipiranga,NEOR-015,C,RS,Porto Alegre ,Jardim Botanico,"Av Ipiranga, 5200 Quiosque 03   Jardim Botanico Cep 90610-000 ",,,
Multisom - Bourbon Shopping Wallig - LOJA,4112118013140,Bourbon Shopping Wallig,NEOR-015,B,RS,Porto Alegre,Cristo Redentor,"Av Assis Brasil, 2611 Loja 203 Cristo Redentor",,,
Multisom - Canoas Shopping - LOJA,4112118014546,Canoas Shopping,NEOR-015,B,RS,Canoas,Centro ,"Av Guilherme Schell, 6750 - Loja A74/A75 - Cep: 92310-001 - Centro - Canoas - Rn",,,
Multisom - Praça Rio Grande Shopping Center - LOJA,4112118014031,Praça Rio Grande Shopping Center,NEOR-015,C,RS,Rio Grande ,Vila Sao Miguel ,"Rua Jockey Clube,155 Loja 46, Shoppi Bairro Vl Sao Miguel  Cep 96212-730",,,
Multisom - Royal Plaza Shopping - LOJA,4112118012250,Royal Plaza Shopping,NEOR-015,C,RS,Santa Maria,Ns. Das Dores ,"Av Nossa Senhora Das Dores, 305 - Loja 360 - Cep: 97050-531 - Nossa Senhora Das Dores - Santa Maria (Rs)",,,
Multisom - Shopping Bella Citta - LOJA,4112118014708,Shopping Bella Citta,NEOR-015,B,RS,Passo Fundo,Centro ,"R Coronel Chicuta, 355 Loja 11 Shopping Bella Citta - Cep: 99010-050 - Centro - Passo Fundo - Rs",,,
Multisom - Shopping Bourbon Country - KIOSQUE,4112118013221,Rondon Plaza Shopping,NEOR-011,C,RS,Porto Alegre ,Passo D'Areia,"Av Tulio De Rose, 80 Quiosqq 01Q05  Passo D'Areia cep 91340-110
",,,
Multisom - Shopping Gravatai - LOJA,4112118014627,Shopping Gravatai,NEOR-015,C,RS,Gravataí,Passo Das Pedras ,Av. Centenário 555 Loja 242 A - Passo Das Pedras - Gravataí- Rs Cep. 94035-240,,,
